,textdata,seq_len,id,case_name,first_party,second_party,winner_label,timeline,decision_type
0,In 1970 Jne Roe ( fctl n used n ct cunts  protect t plntff’s dentty) fled  lwsut gnst Henry Wde t dstrct ttney  Dlls County Texs wre s resded chllengng  Texs lw mkng bt llegl except   ct’s ders  sve  womn’s lfe In r lwsut Roe lleged tht t stte lws re uncsttutlly vgue nd brdged r rght  persl prvcy protected  t Frst Fth Ffth Nnth nd Fteenth Andnts,501,50606,Roe v. Wade,Jane Roe,Henry Wade,1,1971,majority opinion
1,J Stnley hd three chldren wth Peter Stnley  T Stnleys never mrred  lved getr f nd   18 yers  Wn J ded t Stte  Illnos ok t chldren  Under Illnos lw und ftrs re presud unft prents regrdless  tr ctul ftness nd tr chldren c wrds  t stte  Peter ppeled t decs rgung tht t Illnos lw volted t Equl Protect Cluse  t Fteenth Andnt cuse und motrs re not deprved  tr chldren wth  sng tht ty re ctully unft prents  T Illnos Sre Ct rejected Stnley’s Equl Protect clm holdng tht  ctul ftness s  prent ws rrelevnt cuse  nd t chldren’s motr re unmrred,757,50613,Stanley v. Illinois,"Peter Stanley, Sr. ",Illinois,1,1971,majority opinion
2,John Gglo ws cvcted  pssng ged mey ders  Whle  ppel  t US Ct  Appels  t Secd Crcut ws pendng Gglo’s counsel dsced new evdence T evdence ndcted tht t prosecut fled  dsclose tht t promsed  key wtness mmunty  prosecut n exchnge  testmy gnst Gglo  T dstrct ct dened Gglo’s mot   new trl fndng tht t err  not ffect t verdct  T Ct  Appels ffrd,495,50623,Giglio v. United States,John Giglio ,United States,1,1971,majority opinion
3,"T Idho Probte Code specfed tht ""mles must  preferred  femles"" n pptng dmnstrts  esttes After t deth  tr pted s  Slly nd Cecl Reed s   nd t dmnstrt  tr s's estte (t Reeds re seprted) Accdng  t Probte Code Cecl ws ppted dmnstrt nd Slly chllenged t lw n ct",378,50632,Reed v. Reed,Sally Reed,Cecil Reed,1,1971,majority opinion
4,"Mller fter cductng  mss mlng cmpgn  dvertse t sle  ""dult"" mterl ws cvcted  voltng  Cln sttute prohbtng t dstr  obscene mterl So unwllng recpents  Mller's brochures complned  t polce nttng t legl proceedngs",305,50643,Miller v. California,Marvin Miller,California,1,1971,majority opinion
5,"Ernest E Mndel ws  Belgn pressl jnlst nd edt-n-chef  L Guc  Belgn Left Soclst ekly publct He descrd self s  revolutry Mrxst dvoctng t ecomc gnntl nd nterntl ctrnes  wld Communsm Prevously t Unted Sttes twce llod Mndel  temprly vst t Unted Sttes -- ce s  wkng jnlst n 1962 nd ce s  lecturer n 1968 Both ts nd wth Mndel’s knowledge t Stte Deprtnt found  nelgble  t ttney generl used  dscretry por  t Immgrt nd Ntlty Act  1952  dmt Mendel temprly
T Grdute Student Asct t Stnd Unversty nvted Mndel  t Unted Sttes  sx dys  prtcpte n  cference On Septemr 8 1969 Mndel ppled  t Arcn Counsel n Brussels   nmmgrnt vs  enter t Unted Sttes Otr perss nvted Mndel  ddtl events nd Mndel fled  secd vs pplct n Oct detlng   extensve tnerry On Oct 23 t Csul t Brussels nd Mndel tht t Stte Deprtnt -- ded  Secretry  Stte Wllm P Rogers -- refused  frst pplct T Stte Deprtnt lter recomnded  Attney Generl Rchrd G Klendenst tht Mndel’s nelgblty  wved wth respect   Oct pplct In  letter dted Februry 13 1970 ever t Immgrt nd Nturlzt Servce stted tht Mndel’s 1968 ctvtes fr exceeded t scope  tht vs nd ccluded tht t Attney Generl  not wve Mndel’s nelgblty Mndel’s ddress  t cference ws delvered  telephe
Mndel lg wth vrous Unted Sttes ctzens  nvted Mndel  spekng enggents s declrty nd njunctve relef A three-judge dstrct ct pnel ld n  2-1 decs tht ctzens  t Unted Sttes hve  Frst Andnt rght  hve Mndel enter t country nd  r  spek T ct entered  declrty judgnt rulng tht t pts  t sttute delegtng t wver por  t ttney generl re nvld s ppled  Mndel; t l enjed Rogers nd Klendenst  denyng Mndel dmss  t Unted Sttes",2282,50644,Kleindienst v. Mandel,"Richard G. Kleindienst, Attorney General of the United States; William P. Rogers, Secretary of State","Ernest E. Mandel, et al.",1,1971,majority opinion
6,"T Illnos Cr Investgtng Commss ws creted  nvestgte gnzed cr n Illnos Alrt Srno nd Chrs Crd re polce fcers T Commss wnted t fcers  testfy pursunt  n nvestgt   ""juce l""  ""l shrk"" rcket
On Februry 8 1968 t presdng judge n t Crcut Ct  Cook County entered n der requrng t petters  pper e t commss   grnt  mmunty pursunt  n Illnos sttute On Februry 24 1968 t fcers ppered  ty refused  nsr ny quests pledng tr rght gnst self-ncrmnt  t Ffth Andnt
On Mrch 21 1968 t Commss fled  mot n t Crcut ct nd moved t ct  enter n der drectng t petters  pper e t Commss nd nsr t quests T fcers fled  mot  dsmss   strke t egg mot T fcers' mot ws dened nd t ct entered n der drectng t petters  pper e t Commss nd  nsr t quests T fcers refused  oy t subsequent der stll pledng t Ffth Andnt T fcers re found n ctempt  ct nd sentenced  serve  perod  sx mths n t County Jl T decs  t trl ct ws ppeled nd subsequently ffrd  t Illnos Sre Ct T fcers ppeled  t Sre Ct",1424,50655,Sarno v. Illinois Crime Investigating Commission,Sarno,Illinois Crime Investigating Commission,0,1971,per curiam
7,J Argersnger ws n ndgent chrged wth crryng  cceled p  msde n t Stte  Fld T chrge crred wth t  mxmum penlty  sx mths n jl nd  $1000 fne Durng t nch trl n whch  ws cvcted nd sentenced  serve nnety dys n jl Argersnger ws not represented  n ttney,347,50656,Argersinger v. Hamlin,Argersinger,Hamlin,1,1971,majority opinion
8,Wllm Brd gve wy Emko Vgnl Fom   womn follg  Bost Unversty lecture  brth ctrol nd -popult Msschusetts chrged Brd wth  fely  dstre ctrceptves  unmrred n  w Under t lw ly mrred coles  obtn ctrceptves; ly regstered cts  phrmcsts  provde tm Brd ws not n uthzed dstr  ctrceptves,420,50657,Eisenstadt v. Baird,Eisenstadt,Baird,0,1971,majority opinion
9,"A Geg stte ct cvcted Johnny Wls  voltng  stte sttute T sttute provded tht ""[]ny pers  shll wth provoct use    notr nd n  presence    opprobrous wds  busve lnguge tendng  cuse  brech  t pece    shll  gulty   msde"" On ppel Mr Wls rgued tht t sttute volted t Frst nd Fteenth Andnts T Geg Sre Ct rejected t rgunt Mr Wls successfully s hs cpus relef   Geg federl dstrct ct T US Ct  Appels  t Ffth Crcut ffrd",612,50663,Gooding v. Wilson,Gooding,Wilson,0,1971,majority opinion
10,Furmn ws burglrzng  prvte ho wn  fmly mr dsced  He ttempted  flee nd n ng  trpped nd fell T gun tht  ws crryng nt f nd klled  resdent  t ho He ws cvcted  murder nd sentenced  deth (Two otr deth penlty cses re decded lg wth Furmn: Jcks v Geg nd Brnch v Texs Tse cses ccern t csttutlty  t deth sentence  rpe nd murder cvcts respectvely),477,50671,Furman v. Georgia,Furman,Georgia,1,1971,per curiam
11,"K Leroy Irvs  blck mn  ws  guest   whte mr  t Moose Lodge No 107 ws refused servce t t club's dnng room cuse   rce T lws  t Lodge lmted mrshp  whte mle Cucsns Irvs chllenged t club's refusl  serve  rgung tht t ct  t Pennsylvn lqu bd ssung t Lodge  lcense mde t club's dscrmnt ""stte ct""",415,50683,Moose Lodge No. 107 v. Irvis,Moose Lodge No. 107,Irvis,1,1971,majority opinion
12,After observng nd ntervewng  numr  people syntszng nd usng drugs n  two-county re n Kentucky Brnzburg  repter wrote  sty whch ppered n  Lousvlle newspper On two occss  ws clled  testfy e stte grnd jures whch re nvestgtng drug crs Brnzburg refused  testfy nd potentlly dsclose t denttes   cfdentl sces Smlrly n t compn cses  In re Ppps nd Unted Sttes v Cldll two dfferent repters ech cng ctvty wthn t Blck Pntr gnzt re clled  testfy e grnd jures nd revel trusted nmt Lke Brnzburg  Ppps nd Cldll refused  pper e tr respectve grnd jures,745,50688,Branzburg v. Hayes,Branzburg,Hayes,0,1971,majority opinion
13,Wllm Shrd repted  t Chcgo polce tht two n sle  wllet  T wllet ctned trveler’s ccks nd  cl securty crd mg otr thngs  T next dy two polce fcers spped Thoms Kr nd  frend Rlph Ben  Wn sked  dentfct Kr produced Shrd’s wllet  T fcers rrested Kr nd Ben nd br tm  t Mxll Street Polce Stt  Once tre t fcers lerned b Shrd’s robry nd sent  cr  pck  Shrd nd brng   t stt  Wth n ttney present polce sked Shrd f Kr nd Ben re  robrs  Shrd nstntly gve  postve dentfct   Kr nd Ben re not ndcted untl l 6 eks lter  At trl Kr unsuccessfully ttempted  spress Shrd’s dentfct  T jury found Kr gulty nd t Appellte Ct  Illnos Frst Dstrct ffrd,897,50689,Kirby v. Illinois,Thomas Kirby,Illinois,0,1971,plurality opinion
14,Js Yoder nd Wllce Mller  mrs  t Old Order Amsh relg nd Adn Yutzy  mr  t Cservtve Amsh Mennte Church re prosecuted   Wscsn lw tht requred ll chldren  ttend publc schools untl ge 16 T three prents refused  send tr chldren   schools fter t eghth grde rgung tht hgh school ttendnce ws ctrry  tr relgous lefs,424,50692,Wisconsin v. Yoder,Wisconsin,Yoder,0,1971,majority opinion
15,Dvd Roth ws hred   e-yer ctrct  tech poltcl scence t Wscsn Stte Unversty-Oshkosh He ws nd tht   not  rehred t t end   ctrct No ress re gven  t decs Roth br sut gnst t unversty clmng tht (1) t rel res   n-retent ws  crtcsm  t unversty dmnstrt voltng  rght  free speech protected  t Fteenth Andnt; nd (2) t unversty's flure  dvse   t res  ts decs volted  rght  procedurl due process Roth w  t secd clm It ws ld  ppel,635,50695,Board of Regents of State Colleges v. Roth,Board of Regents of State Colleges,David Roth,1,1971,majority opinion
16,Msssspp Cmcl Cp nd Costl Cmcl Cp re “cooperte scts” wthn t nng  t Agrculturl Mrketng Act  T scts qulfed  mrshp n  “bnk  Coopertves” whch llod tm  brow mey  T Frm Credt Act  1955 requred tht t scts buy Clss “C” scks vlued t $100  T scts cld  $99 nterest deduct  tr txes  e sck purchsed  Wn t Internl Revenue Servce dsllod t deduct t scts pd t defcency nd tn sued   refund  T dstrct ct found  t scts nd t US Ct  Appels  t Ffth Crcut ffrd,678,50707,United States v. Mississippi Chemical Corporation,United States,"Mississippi Chemical Corporation, Costal Chemical Corp",1,1971,majority opinion
17,"In 1969 t Stte  New Yk ndcted Rulph Snllo  two fely counts After Snllo pled not gulty   counts t prosecut fered   ple del In der  receve  lghter sentence Snllo  pled gulty   lesser fense T prosecut  greed not  recomnd  sentence  t judge Snllo ccepted t del nd entered  ple  gulty  t lesser fense
After severl mths Snllo stll hd not en sentenced By t t t ct csdered  sentencng  Snllo’s defense counsel nd t gnl prosecut hd en replced T new prosecut unwre  t prevous prosecut’s ple fer recomnded t mxmum e-yer sentence  Snllo’s cr Despte Snllo’s objects t ct ssued t mxmum sentence Snllo ppeled  t ppellte ct ffrd  cvct""",899,50709,Santobello v. New York,Rudolph Santobello,State of New York,1,1971,majority opinion
